ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,factor_expansion
2024,1,24160,1,22,1,1,202401241601002211,1,1,1,1,2,,2,40.0,1,1,25.0,1.0,1983.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1821.3527316698
2024,1,24160,1,22,1,1,202401241601002212,1,2,2,1,2,,1,43.0,2,2,15.0,10.0,1980.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,9,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,10,7,3,,,,,,,,,,,,,1,1850.89056217452
2024,1,24160,1,22,1,1,202401241601002213,1,3,3,1,2,,1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,1,21682,1,3,1,1,202310216821000311,1,1,1,1,2,,1,62.0,1,1,20.0,3.0,1961.0,1,,,,,,,,,,,,,,,,9549.0,4789.0,2,,2,2,1,1.0,0.0,0.0,0.0,5.0,0.0,12.0,5.0,22.0,,22.0,1,,1,2,2,2,,,,,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,8,1,,2,2,2,2,2,2,10,7,1,,,1500,,,,,,,1500.0,1500.0,1500,1,537.625699546285
2024,1,21682,1,3,1,1,202310216821000312,1,2,2,1,2,,2,70.0,2,1,21.0,7.0,1953.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,494.508818843742
2024,1,21682,1,3,1,1,202310216821000313,1,3,3,1,2,,2,38.0,3,3,5.0,11.0,1985.0,1,,,,,,,,,,,,,,,,3221.0,8790.0,3,2,,,5,1000.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,48.0,,48.0,1,,2,,2,2,4,1700,100.0,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,1700.0,433,,,,,,,50,2133.0,2133.0,2183,1,652.032438917255
2024,1,21682,1,3,1,1,202310216821000314,1,4,5,1,2,,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2024,1,17616,1,43,1,1,202210176161004311,1,1,1,1,2,,2,47.0,1,2,27.0,9.0,1976.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,1,7,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,222.180924740316
2024,1,17616,1,43,1,1,202210176161004312,1,2,3,1,2,,1,24.0,2,2,12.0,6.0,1999.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,13,8,2,1,6,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,261.879339778804
2024,1,23046,1,14,1,1,202301230461001411,1,1,1,1,2,,1,39.0,1,1,18.0,10.0,1984.0,1,,,,,,,,,,,,,,,,7322.0,3100.0,2,,3,2,1,1.0,0.0,6.0,6.0,6.0,6.0,4.0,8.0,36.0,,36.0,1,,1,2,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,900,,,,,,,900.0,900.0,900,1,866.686850264129
